9/1/2024, 24:00:19, 36
9/1/2024, 24:15:16, 35
9/1/2024, 24:30:20, 32
9/1/2024, 24:45:29, 35
9/1/2024, 01:00:16, 33
9/1/2024, 01:15:15, 31
9/1/2024, 01:30:20, 27
9/1/2024, 01:45:19, 26
9/1/2024, 02:00:19, 31
9/1/2024, 02:15:15, 27
9/1/2024, 02:30:19, 30
9/1/2024, 02:45:16, 32
9/1/2024, 03:00:20, 30
9/1/2024, 03:15:18, 32
9/1/2024, 03:30:19, 31
9/1/2024, 03:45:18, 26
9/1/2024, 04:00:16, 22
9/1/2024, 04:15:14, 23
9/1/2024, 04:30:20, 26
9/1/2024, 04:45:14, 27
9/1/2024, 05:00:17, 33
9/1/2024, 05:15:14, 28
9/1/2024, 05:30:18, 22
9/1/2024, 05:45:14, 24
9/1/2024, 06:00:16, 28
9/1/2024, 06:15:15, 33
9/1/2024, 06:30:16, 35
9/1/2024, 06:45:15, 35
9/1/2024, 07:00:15, 42
9/1/2024, 07:15:15, 45
9/1/2024, 07:30:18, 52
9/1/2024, 07:45:16, 56
9/1/2024, 08:00:16, 60
9/1/2024, 08:15:14, 50
9/1/2024, 08:30:16, 51
9/1/2024, 08:45:14, 59
9/1/2024, 09:00:16, 71
9/1/2024, 09:15:14, 75
9/1/2024, 09:30:15, 78
9/1/2024, 09:45:16, 85
9/1/2024, 10:00:16, 96
9/1/2024, 10:15:15, 106
9/1/2024, 10:30:16, 109
9/1/2024, 10:45:16, 112
9/1/2024, 11:00:17, 114
9/1/2024, 11:15:15, 129
9/1/2024, 11:30:15, 124
9/1/2024, 11:45:15, 111
9/1/2024, 12:00:18, 125
9/1/2024, 12:15:17, 104
9/1/2024, 12:30:16, 93
9/1/2024, 12:45:17, 86
9/1/2024, 13:00:18, 92
9/1/2024, 13:15:15, 76
9/1/2024, 13:30:17, 84
9/1/2024, 13:45:15, 88
9/1/2024, 14:00:19, 78
9/1/2024, 14:15:15, 94
9/1/2024, 14:30:16, 114
9/1/2024, 14:45:21, 103
9/1/2024, 15:00:15, 109
9/1/2024, 15:15:15, 98
9/1/2024, 15:30:18, 97
9/1/2024, 15:45:17, 93
9/1/2024, 16:00:17, 87
9/1/2024, 16:15:21, 84
9/1/2024, 16:30:16, 86
9/1/2024, 16:45:15, 94
9/1/2024, 17:00:15, 93
9/1/2024, 17:15:16, 96
9/1/2024, 17:30:17, 81
9/1/2024, 17:45:16, 79
9/1/2024, 18:00:16, 80
9/1/2024, 18:15:16, 63
