2026-07-10T22:30:40.357Z, 23, 24717632
2026-07-10T22:45:23.842Z, 26, 24717716
2026-07-10T23:00:41.670Z, 26, 24717769
2026-07-10T23:15:22.911Z, 24, 24717825
2026-07-10T23:30:41.986Z, 27, 24717859
2026-07-10T23:45:19.963Z, 28, 24717883
2026-07-11T00:00:41.125Z, 26, 24717912
2026-07-11T00:15:22.781Z, 24, 24717958
2026-07-11T00:30:40.385Z, 26, 24717992
2026-07-11T00:45:20.474Z, 23, 24718024
2026-07-11T01:00:39.185Z, 21, 24718056
2026-07-11T01:15:19.880Z, 17, 24718088
2026-07-11T01:30:37.397Z, 19, 24718109
2026-07-11T01:45:23.686Z, 16, 24718126
2026-07-11T02:00:42.411Z, 18, 24718160
2026-07-11T02:15:22.238Z, 16, 24718183
2026-07-11T02:30:39.620Z, 18, 24718200
2026-07-11T02:45:20.458Z, 13, 24718222
2026-07-11T03:00:41.313Z, 13, 24718246
2026-07-11T03:15:20.009Z, 17, 24718266
2026-07-11T03:30:36.985Z, 16, 24718283
2026-07-11T03:45:19.405Z, 11, 24718297
2026-07-11T04:00:42.206Z, 18, 24718308
2026-07-11T04:15:22.969Z, 12, 24718323
2026-07-11T04:30:36.005Z, 14, 24718338
2026-07-11T04:45:20.286Z, 17, 24718354
2026-07-11T05:00:40.371Z, 14, 24718373
2026-07-11T05:15:22.389Z, 15, 24718398
2026-07-11T05:30:39.659Z, 13, 24718417
2026-07-11T05:45:21.697Z, 15, 24718432
2026-07-11T06:00:43.899Z, 20, 24718447
2026-07-11T06:15:24.422Z, 27, 24718457
2026-07-11T06:30:39.514Z, 23, 24718475
2026-07-11T06:45:24.065Z, 23, 24718492
2026-07-11T07:00:43.599Z, 39, 24718513
2026-07-11T07:15:23.028Z, 35, 24718528
2026-07-11T07:30:38.891Z, 35, 24718550
2026-07-11T07:45:22.676Z, 29, 24718569
2026-07-11T08:00:43.442Z, 34, 24718601
2026-07-11T08:15:21.368Z, 40, 24718613
2026-07-11T08:30:36.958Z, 36, 24718632
2026-07-11T08:45:20.836Z, 33, 24718662
2026-07-11T09:00:42.248Z, 29, 24718689
2026-07-11T09:15:21.478Z, 29, 24718723
2026-07-11T09:30:39.830Z, 30, 24718768
2026-07-11T09:45:19.888Z, 28, 24718812
